Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
BMW,M340i xDrive Sedan,Compact,3,6,AS8,Z,10.5,7.7,9.2,31,214
BMW,M440i xDrive Coupe,Subcompact,3,6,AS8,Z,10.5,7.7,9.2,31,214
BMW,M5 Sedan,Mid-size,4.4,8,AS8,Z,16,11,13.8,20,323
BMW,M5 Competition,Mid-size,4.4,8,AS8,Z,16,11,13.8,20,323
BMW,M550i xDrive Sedan,Mid-size,4.4,8,AS8,Z,13.5,9.5,11.7,24,272
BMW,M760i xDrive Sedan,Full-size,6.6,12,AS8,Z,17.8,11.9,15.1,19,354
BMW,M8 Cabriolet,Subcompact,4.4,8,AS8,Z,16,11,13.8,20,323
BMW,M8 Cabriolet Competition,Subcompact,4.4,8,AS8,Z,16,11,13.8,20,323
BMW,M8 Coupe,Subcompact,4.4,8,AS8,Z,16,11,13.8,20,323
BMW,M8 Coupe Competition,Subcompact,4.4,8,AS8,Z,16,11,13.8,20,323
BMW,M8 Gran Coupe,Mid-size,4.4,8,AS8,Z,16,11,13.8,20,323
BMW,M8 Gran Coupe Competition,Mid-size,4.4,8,AS8,Z,16,11,13.8,20,323
BMW,M850i xDrive Cabriolet,Subcompact,4.4,8,AS8,Z,14,9.7,12,24,281
BMW,M850i xDrive Coupe,Subcompact,4.4,8,AS8,Z,13.5,9.5,11.7,24,272
BMW,M850i xDrive Gran Coupe,Mid-size,4.4,8,AS8,Z,14,9.7,12,24,281
BMW,X1 xDrive28i,SUV: Small,2,4,AS8,Z,10.3,7.7,9.1,31,213
BMW,X2 xDrive28i,SUV: Small,2,4,AS8,Z,9.8,7.5,8.8,32,205
BMW,X2 M35i,SUV: Small,2,4,AS8,Z,10,7.7,8.9,32,209
BMW,X3 xDrive30i,SUV: Small,2,4,AS8,Z,10.2,8.2,9.3,30,217
BMW,X3 M,SUV: Small,3,6,AS8,Z,16.6,12.1,14.6,19,339
BMW,X3 M Competition,SUV: Small,3,6,AS8,Z,16.6,12.1,14.6,19,339
BMW,X3 M40i,SUV: Small,3,6,AS8,Z,11.3,8.7,10.1,28,235
BMW,X4 xDrive30i,SUV: Small,2,4,AS8,Z,10.2,8.2,9.3,30,217
BMW,X4 M,SUV: Small,3,6,AS8,Z,16.6,12.1,14.6,19,339
BMW,X4 M Competition,SUV: Small,3,6,AS8,Z,16.6,12.1,14.6,19,339
BMW,X4 M40i,SUV: Small,3,6,AS8,Z,11.3,8.7,10.1,28,235
BMW,X5 xDrive40i,SUV: Standard,3,6,AS8,Z,11.4,9.2,10.4,27,242
BMW,X5 M,SUV: Standard,4.4,8,AS8,Z,17.9,13,15.7,18,364
BMW,X5 M Competition,SUV: Standard,4.4,8,AS8,Z,17.9,13,15.7,18,364
BMW,X5 M50i,SUV: Standard,4.4,8,AS8,Z,14.4,10.6,12.7,22,302
BMW,X6 xDrive40i,SUV: Standard,3,6,AS8,Z,11.4,9.2,10.4,27,242
BMW,X6 M,SUV: Standard,4.4,8,AS8,Z,17.9,13,15.7,18,364
BMW,X6 M Competition,SUV: Standard,4.4,8,AS8,Z,17.9,13,15.7,18,364
BMW,X6 M50i,SUV: Standard,4.4,8,AS8,Z,14.4,10.6,12.7,22,302
BMW,X7 xDrive40i,SUV: Standard,3,6,AS8,Z,12.1,9.8,11.1,25,256
BMW,X7 M50i,SUV: Standard,4.4,8,AS8,Z,15.7,11.5,13.8,20,321
BMW,Z4 sDrive30i,Two-seater,2,4,AS8,Z,9.4,7.3,8.4,34,197
BMW,Z4 M40i,Two-seater,3,6,AS8,Z,10.7,8,9.5,30,221
Bugatti,Chiron,Two-seater,8,16,AM7,Z,26.8,16.6,22.2,13,522
Bugatti,Chiron Pur Sport,Two-seater,8,16,AM7,Z,30.3,20.9,26.1,11,608
Buick,Enclave,SUV: Standard,3.6,6,A9,X,13,9.1,11.2,25,264
Buick,Enclave AWD,SUV: Standard,3.6,6,A9,X,13.6,9.6,11.8,24,277
Buick,Encore,SUV: Small,1.4,4,AS6,X,9.4,7.8,8.7,32,204
Buick,Encore (SIDI),SUV: Small,1.4,4,AS6,X,9.7,7.3,8.6,33,203
Buick,Encore AWD,SUV: Small,1.4,4,AS6,X,10,8,9.1,31,214
Buick,Encore AWD (SIDI),SUV: Small,1.4,4,AS6,X,10.2,7.7,9.1,31,214
Buick,Encore GX,SUV: Small,1.2,3,AV,X,8.4,7.5,8,35,188
Buick,Encore GX AWD,SUV: Small,1.3,3,A9,X,9,8,8.5,33,199
Buick,Envision,SUV: Small,2,4,AS9,X,10,7.6,8.9,32,209
Buick,Envision AWD,SUV: Small,2,4,AS9,X,10.5,8.2,9.5,30,222
Cadillac,CT4,Compact,2,4,AS8,Z,10.1,6.8,8.7,32,203
Cadillac,CT4,Compact,2.7,4,AS10,Z,11,7.6,9.5,30,221
Cadillac,CT4 AWD,Compact,2,4,AS8,Z,10.4,7.4,9.1,31,213
Cadillac,CT4 AWD,Compact,2.7,4,AS10,Z,11.4,8.2,9.9,29,232
